trial,step_count,duration_sec,n_valid_intervals,mean_step_time,std_step_time,min_step_time_used,max_step_time_used,cadence_spm
Afi_Jalan58,9,8.252148999999918,2,0.6821645000018179,0.5071518327086697,0.32355400000233203,1.0407750000013039,65.4374999772793
Afi_Jalan59,9,8.755703999995603,4,0.6461495000003197,0.362471312567659,0.32951799999864306,1.0969089999998687,61.67408126180044
Afi_Jalan5,5,5.099797999995644,3,0.5634256666671718,0.3155215224018682,0.32795700000133365,0.921929000003729,58.82585937722558
Afi_Jalan60,17,12.558439000000362,7,0.5013224285700874,0.43301716355544034,0.3237479999952484,1.4824040000021341,81.2202854192285
Afi_Jalan61,10,8.426616000004287,3,0.605223666667977,0.4706276089984131,0.3327960000024177,1.148656999997911,71.20295976459526
Afi_Jalan62,10,8.486528000001272,5,0.5132700000001933,0.196856975576586,0.3227649999971618,0.7656449999994948,70.70029109665461
Afi_Jalan63,10,9.383488999999827,3,0.6025480000001456,0.472650980656471,0.32913399999961257,1.1483179999995627,63.94210085395859
Afi_Jalan64,4,6.286946000000171,1,0.32479500000044936,0.0,0.32479500000044936,0.32479500000044936,38.17433774681594
Afi_Jalan65,6,6.169008000004396,4,0.7171090000010736,0.4527957128922429,0.3254190000006929,1.159032000003208,58.3562219403417
Afi_Jalan66,12,8.819817999996303,2,0.8810115000014775,0.7084920033716553,0.38003200000093784,1.3819910000020172,81.63433757933574
Afi_Jalan67,17,20.46161199999915,10,0.5786989000000176,0.3546131710681713,0.3217389999990701,1.4283510000022943,49.84944490199709
Afi_Jalan68,15,16.865700000002107,7,0.644053857142613,0.23404302739020086,0.3268420000022161,0.9359130000011646,53.362742133435766
Afi_Jalan69,25,21.23416400000133,13,0.6375905384607344,0.3627203468095564,0.3011229999974603,1.375692000001436,70.64087853893876
Afi_Jalan6,4,6.414747000002535,2,0.44002800000089337,0.15574451119224547,0.32990000000427244,0.5501559999975143,37.41379044253891
Afi_Jalan70,24,17.39876400000503,9,0.5794170000008307,0.37326357094180773,0.3216480000046431,1.4291550000052666,82.76449982306696
Afi_Jalan71,19,16.804090999998152,5,0.3764549999992596,0.0459755726177704,0.33063099999708356,0.441488999997091,67.84062285785797
Afi_Jalan72,26,19.99200899999414,8,0.359187624997503,0.056611701719482974,0.3297610000008717,0.49753599999530707,78.03117735693583
Afi_Jalan7,7,5.060720000001311,3,0.6994653333337434,0.5973656075676802,0.3275439999997616,1.388517999999749,82.99214341040232
Afi_Jalan8,5,3.8705990000016754,2,0.3356759999987844,0.0023136533841302998,0.33404000000155065,0.33731199999601813,77.50738322411341
Afi_Jalan9,5,5.795730000005278,1,0.38985500000126194,0.0,0.38985500000126194,0.38985500000126194,51.76224565321828
Kinan_Jalan10,5,4.414446999995562,1,0.38395999999920605,0.0,0.38395999999920605,0.38395999999920605,67.9586820275114
Kinan_Jalan11,3,4.685328999999911,1,0.32914500000333646,0.0,0.32914500000333646,0.32914500000333646,38.41779307280309
Kinan_Jalan12,7,7.619345999999496,5,0.40754939999897033,0.09170398796886584,0.3302629999961937,0.5490629999985686,55.12284125173313
Kinan_Jalan13,6,6.357224999999744,3,0.7496393333325008,0.45614616843877065,0.38195599999744445,1.2600940000047558,56.628481766810914
Kinan_Jalan14,8,5.590003999997862,6,0.6871746666680943,0.4216633316889231,0.3326759999981732,1.3216230000034557,85.86755930768271
Kinan_Jalan15,6,6.434429000000819,2,0.7441145000011602,0.5724050606937122,0.339362999999139,1.1488660000031814,55.94902049582864
Kinan_Jalan16,5,4.8764850000006845,2,0.324924500000634,0.005213498292805637,0.32123800000408664,0.32861099999718135,61.51972168477046
Kinan_Jalan17,7,5.155103999997664,3,0.5160813333325981,0.31723477614220597,0.32926900000165915,0.882367999998678,81.47265312206899
Kinan_Jalan18,7,6.959842000003846,4,0.8955712499991932,0.27940020926194326,0.6060649999999441,1.259397000001627,60.34619751422057
Kinan_Jalan19,7,6.4067399999985355,2,0.33059399999910966,0.005385325247354743,0.32678599999781,0.3344020000004093,65.5559613781886
Kinan_Jalan1,4,4.661984999998822,2,0.3883434999988822,0.07787437691975688,0.3332779999982449,0.44340899999951944,51.4802171178287
Kinan_Jalan20,9,5.882432999998855,4,0.6047299999972893,0.4818756131162397,0.32738299999618903,1.3233969999928377,91.79875061902194
Kinan_Jalan21,6,5.195992000000842,1,1.4842130000033649,0.0,1.4842130000033649,1.4842130000033649,69.28417133820484
Kinan_Jalan22,4,5.88177700000233,2,0.47464599999875645,0.030493272829179754,0.45308400000067195,0.49620799999684095,40.80399511914595
Kinan_Jalan23,5,5.22201500000665,0,,,,,
Kinan_Jalan24,7,5.738302999998268,5,0.8055353999996442,0.4943645054764737,0.3312969999969937,1.4910099999979138,73.19237063642801
Kinan_Jalan25,7,5.646357000005082,1,0.3801780000067083,0.0,0.3801780000067083,0.3801780000067083,74.38424456682813
Kinan_Jalan26,5,4.372010000006412,1,0.33084700000472367,0.0,0.33084700000472367,0.33084700000472367,68.61832429467454
Kinan_Jalan27,6,6.164792000010493,3,0.36561566666447715,0.033793230444301645,0.32659500000590924,0.38527800000156276,58.39613080204283
Kinan_Jalan28,7,5.756510000006529,3,0.36702299999888055,0.06778809063446217,0.32729899999685585,0.4452949999977136,72.96087386272649
Kinan_Jalan29,7,5.5242379999981495,1,0.3862200000003213,0.0,0.3862200000003213,0.3862200000003213,76.0285852999347
Kinan_Jalan2,6,6.016607000005024,1,0.3320480000038515,0.0,0.3320480000038515,0.3320480000038515,59.83438838529746
Kinan_Jalan30,7,6.178597999998601,5,0.452335000000312,0.1696911700235562,0.3283840000076452,0.665859000000637,67.97658627411835
Kinan_Jalan31,7,5.214903000000049,1,0.3302269999985583,0.0,0.3302269999985583,0.3302269999985583,80.53841078156124
Kinan_Jalan32,7,4.559538999994402,3,0.38738200000079814,0.05075955556447636,0.3354330000001937,0.4368620000022929,92.1145756183938
Kinan_Jalan33,9,6.360014000005322,4,0.40075024999532616,0.10354624943895474,0.32832099999359343,0.5493869999918388,84.90547347844645
